id,question,A,B,C,D,answer,explanation
94,为了预防贫血，应该补充的元素是____,铁,奶,磷,钾,A,
95,金属材料是人类生产、生活不可分割的元素。下列有关金属材科的说法正确的是____,钢是纯净物，生铁是混合物,铁在干燥的空气中容易生锈,硬铝（铝合金）的硬度小于纯铝,金属资源的回收利用既保护了环境，又节约了金属资源,D,
96,下列对物质的分类正确的是____,晶体﹣铝、冰、海波,绝缘体﹣塑料、橡胶、石墨,混合物﹣乙醇、海水、碳酸氢钠,复合肥料﹣尿素、硝酸钾、磷酸二氢铵,A,
97,依据国家相关法律规定，自2011年5月1日起，机动车驾驶员醉驾将受到刑事处罚。 检测驾驶员是否酒后驾车，可用一种装有重铬酸钾($\text{K}_2\text{Cr}_2\text{O}_7$)的仪器。在$\text{K}_2\text{Cr}_2\text{O}_7$中铬元素(Cr)的化合价是____,2,3,6,7,C,
98,下列化学方程式的书写和对反应类型的判断，都正确的是____,$\text{H}_2+\text{Cl}_2\overset{点燃}{=}\text{2HCl}$ 化合反应,$\text{HgO}\overset{\Delta}{=}\text{Hg}+\text{O}_ 2\uparrow$ 分解反应,$\text{CuO+CO}\overset{\Delta}{=}\text{Cu+CO}_2$ 置换反应,$\text{KCl+HNO}_3=\text{KNO}_3+\text{HCl}$ 复分解反应,A,
99,金刚石、石墨和$\text{C}_{60}$都是碳的单质，下列有关叙述正确的是____,都是黑色固体,一定条件下，石墨转化为金刚石是物理变化,碳原子的排列方式相同,在氧气中充分燃烧时都生成二氧化碳,D,
100,实验室配制50g溶质质量分数为15%的氯化钠溶液。下列说法正确的是____,托盘天平未经调零即用来称取氯化钠固体,称量时托盘天平指针偏左，移动游码至天平平衡,量取水时，用规格为50mL的量筒,把配制好的氯化钠溶液倒入刚用蒸馏水润洗过的试剂瓶中，并贴上标签,C,
101,配制溶液时，下列溶剂中最常用的是____,酒精,水,汽油,植物油,B,
102,下列化学符号中数字“2”表示的意义正确的是____,2H：2个氢元素,$CO_2$：二氧化碳中有2个氧原子,$Cu^{2+}$：一个铜离子带2个单位正电荷,$\mathop{Ca}\limits^{+2}O$：氧化钙的化合价为+2价,C,
103,分类和推理是重要的化学学习方法。以下有关的推理中正确的是____,酸在水中能电离出$H^{+}$，故含氢元素的物质是酸,生成气体是复分解反应发生的条件之一，故在溶液中能生成气体的反应一定是复分解反应,离子都带电荷，故带电荷的粒子一定是离子,溶液具有均一性和稳定性，但具有均一性和稳定性的液体不一定是溶液,D,
104,下列变化中，属于化学变化的是____,石蜡熔化,汽油挥发,湿衣晾干,木柴燃烧,D,
105,下列实验不能得出相应结论的是____,加入肥皂水振荡，泡沫很少、浮渣多，说明试管中的水是硬水,对着玻璃片哈气，玻璃片上出现水雾，说明空气中含有水蒸气,在装满水的烧杯中向下按易拉罐，溢出水越多，手受到的压力越大，说明物体排开水的体积越大，物体受到的浮力越大,在材料、粗糙程度相同的水平面上匀速拉物体，物体越重，拉力越大，说明在其他条件不变时，压力越大，滑动摩擦力越大,B,
106,化学在生活、生产中应用广泛，下列过程不属于化学变化的是____,光合作用,高炉炼铁,葡萄酿酒,活性炭除臭,D,
107,下列有关化学史的说法不正确的是____,道尔顿提出原子论,门捷列夫发现了元素周期律并编制出元素周期表,拉瓦锡用定量的方法研究了空气的成分,侯德榜改进制碱技术制得了烧碱,D,
108,下列有关实验现象的描述正确的是____,硫在空气中燃烧发出微弱的淡蓝色火焰,铜丝在氧气中剧烈燃烧生成银白色固体,氢气在空气中燃烧发出白光，放出热量,镁条在空气中燃烧生成黑色固体,A,
109,一些物质的pH范围如下，其中呈碱性的是____,柠檬汁（2-3）,葡萄汁（3.5-4.5）,西瓜汁（5-6）,肥皂水（9~10）,D,
110,下列区分物质的方法中，正确的是____,用盐酸区分氯化铵和氯化钾,用观察法区分氧化铜粉末和碳粉,用水区分硝酸铵固体和氢氧化钠固体,用酚酞溶液区分氢氧化钠溶液和碳酸钠溶液,C,
111,下列关于资源、能源的叙述不正确的是____,金属的回收利用，不仅可以节约金属资源，还可以节约95%的能源,废旧电池随意丢弃会带来对环境的污染，但不会危害人体健康,地球上的金属资源中金、银等以单质形式存在外，其余都以化合物形式存在,防止金属腐蚀是保护金属资源的有效途径,B,
112,化学是一门以实验为基础的自然学科，规范的实验操作是完成实验任务的保证。下列实验操作中，不合理的是____,酒精洒在实验桌上燃烧起来，立即用湿抹布盖灭,实验室制取$O_2$时，应先检查装置气密性，再装药品,稀释浓硫酸时，将浓硫酸注入盛有水的量筒中，并不断搅拌,做铁丝在氧气中燃烧的实验时，集气瓶内预留少量的水或细沙,C,
113,下列说法正确的是____,水银温度计的工作原理是：温度升高分子间的间隔变大,金刚石很硬石墨很软是因为构成两者的原子种类不同,NaCl由NaCl离子构成,水蒸发过程中，水分子的间隔变大,D,
114,食盐的主要成分是NaCl，是重要的调味品，同学们熟悉的“配制一定质量分数的NaCl溶液”和“粗盐中难溶性杂质去除”这两个与NaCl有关的实验中均不需用到的玻璃仪器是____,玻璃棒,烧杯,漏斗,试管,D,
115,“黑火药”是我国古代四大发明之一，它由硝酸钾、硫磺、木炭组成。“黑火药”属于 ____,纯净物,化合物,单质,混合物,D,
116,成都围绕“人、城、境、业”开展公园城市示范区建设，相关举措有误的是____,简约适度、低碳生活,城园相融、人城和谐,水润天府、绿满蓉城,减少污染、关停企业,D,
117,下列关于水的说法正确的是____,水分子是由氢分子和氧原子构成的,过滤和加热均能使硬水转化为软水,蒸馏或用活性炭吸附均可使海水转化为淡水,肥皂水可区分硬水和软水,D,
118,下列变化中，只涉及物理变化的是____,汽油挥发,大米酿酒,酒精燃烧,食物腐烂,A,
119,关于浓盐酸和浓硫酸的下列说法中，说法错误的是____,盐酸可用来制造药物,浓硫酸是油状的黏稠液体，有刺激性气味,打开浓盐酸的瓶口可以看到“白雾”,浓硫酸可用作某些气体的干燥剂,B,
120,化学与生活息息相关，人类的生活离不开化学。生活中下列做法错误的是____,食品包装中充氮气防腐,用过滤和蒸馏等方法净化水,用灼烧方法区分棉纤维和合成纤维,用硬水洗涤衣服有利于节约肥皂,D,
121,下列物质的俗名与化学式不相符的是____,水银——Ag,纯碱——$\text{Na}_2 \text{CO}_3$,生石灰——CaO,烧碱——NaOH,A,
122,王亚平在太空做了油和水 “难分难舍”的神奇实验：她用力摇晃装有油和水的瓶子，让油水充分混合、静置，发现油水不分层。下列说法不正确的是____,太空中水不能作溶剂,在地面油水混合物会产生分层现象,不同环境中同一实验可能现象不同,在地面向油水混合物中加入洗涤剂会产生乳化现象,A,
123,下列变化属于化学变化的是 ____,冰块融化,蜡烛燃烧,玻璃粉碎,蔬菜榨汁,B,
124,下列属于复合肥的是____,$MgSO_4$,$Ca(NO_3)_2$,$NH_4NO_3$,$NH_4H_2PO_4$,D,
125,某份晚餐的搭配：东莞米粉、清炒土豆丝、紫菜西红柿汤。为均衡摄入营养素，这份晚餐还需搭配的食物是____,苹果,米饭,鸡蛋,食盐,C,
126,某同学用托盘天平称量5.4g物体时，在右盘加5.0g砝码，游码移至标尺上0.4克处加药品，此时发现指针偏左，这时该同学的操作是____,加药品,减药品,游码左移,游码右移,B,
127,我国制碱工业的先驱是____,张青莲,屠呦呦,钱学森,侯德榜,D,
128,疫情防控期间用到一种免洗手消毒凝胶，其中含有正丙醇（化学式为$C_3H_8O$）。下列有关正丙醇的说法，正确的是____,属于无机物,一个分子含12个原子,相对分子质量为60g,碳、氢元素的质量比为3:8,B,
129,下列实验现象描述正确的是____,木炭在空气中燃烧发出白光,氢气在空气中燃烧生成水,镁条在空气中剧烈燃烧，生成黑色固体,硫在空气中燃烧，有刺激性气味的气体产生,D,
130,下列对有关实验异常现象分析合理的是 ____,铁丝在氧气中燃烧时集气瓶瓶底炸裂——铁丝没有制成螺旋状,向澄清石灰水中通入二氧化碳无明显现象——可能是石灰水变质,将表面未处理的铝丝插入硫酸铜溶液中无明显现象——铝的金属活动性比铜弱,在粗盐提纯实验中过滤速率过慢——没用玻璃棒引流,B,
131,下列物质中属于氧化物的是____,$O_2$,$SiO_2$,$\text{H}_2 \text{SiO}_3$,$\text{Na}_2 \text{SiO}_3$,B,
132,端午节是中国传统节日，这一天人们会挂艾草、赛龙舟、吃粽子等。制作龙舟常用樟木、桧木，如今也可以用玻璃钢制作，既环保又方便。玻璃钢属于____,复合材料,天然材料,合成材料,无机材料,A,
133,在测定锌、铟等元素的相对原子质量方面做出卓越献的中国科学家是____,杨振宁,屠呦呦,侯德榜,张青莲,D,
134,空气是人类赖以生存的物质基础。下列有关说法错误的是____,空气中的氧气是一种常见的燃料,二氧化硫是空气污染物之一,空气中氮气的体积分数约为78%,植树造林有利于保护空气,A,
135,下列未计入空气质量评价的主要污染物的是____,$\text{PM}_{2.5}$,$\text{NO}_2$,CO,$\text{O}_2$,D,
136,下列有关实验现象的描述正确的是____,红磷燃烧产生白雾,硝酸铵溶于水温度升高,碘与淀粉作用呈蓝色,铁与稀硫酸反应溶液为棕黄色,C,
137,受新冠疫情影响，国家鼓励发展“地摊经济”。下列地摊活动中涉及化学变化的是____,露天烧烤,手工刺绣,现场素描,西瓜榨汁,A,
138,下列物质的用途主要由物理性质决定的是____,氧气用于医疗急救,氦气可用于制造低温环境,一氧化碳用于炼铁,天然气用作燃料,B,
139,下列有关水的说法正确的是____,淡水资源丰富，可任意使用,可用肥皂水区分软水和硬水,水蒸发时，说分子体积变大,电解水时正极得到氢气,B,
140,下列有关灭火原理的说法中，错误的是____,清除可燃物,使可燃物与其他物品隔离,隔绝空气,降低可燃物的着火点,D,
141,下列有关营养与健康的认识，正确的是____,剧烈运动后，大量饮用碳酸饮料,碘是人体必需的微量元素，摄入越多越好,成人每天需摄入一定量的蛋白质，青少年需要量更大,人体活动所需的能量主要来自维生素，需大量摄入,C,
142,下列变化属于化学变化的是____,汽油挥发,矿石粉碎,酒精燃烧,冰雪融化,C,
143,下列过程中发生了化学变化的是____,气体膨胀,石蜡熔化,火药爆炸,光的色散,C,
144,连花清瘟胶囊源自传统中医名方，可用于治疗流感，现代仪器测得其成分之一是没食子酸（化学式为$C_7H_6O_5$）。下列有关没食子酸的说法，正确的是____,属于氧化物,碳、氢、氧元素的质量比为12∶1∶16,含有3个原子,完全燃烧生成$CO_2$和$H_2O$,D,
145,日常生活中的许多活动与化学有关。下列活动中存在化学变化的是____,毛线织衣,晾干湿衣,雕刻石像,木柴燃烧,D,
146,水对于生命活动、工农业生产具有重要意义。下列有关水的说法错误的是____,农业上采用喷灌和滴灌可以节约用水,工业废水可以不经处理直接排入河道,生活中可以用煮沸的方法降低水的硬度,工业上可采用蒸馏法从海水中获取淡水,B,
147,下列物质属于溶液的是____,豆浆,泥浆,蒸馏水,白糖水,D,
148,关于人体所需的营养物质，下列叙述正确的是____,人体所需的水只能靠饮水补充,人体缺少维生素C会引起贫血，吃水果可以为人体补充维生素,蛋白质、糖类、油脂都属于有机物，在体内消化会放出热量，维持体温,青少年正在长身体，应多吃富含蛋白质的肉类，少吃蔬菜、水果,C,
149,有X、Y、2三种金属，X在常温下就能与氧气反应，Y、2在常温下几乎不与氧气反应；如果把Y和2分别放入稀硫酸中，Y溶解并产生氢气， Z不反应。根据以上实验事实判断，X、Y、2三种金属的活动性由强至弱的顺序正确的是____,X Z Y,X Y Z,Y Z X,Z Y X,B,
150,2022年3月1日起，河南依法禁止生产、销售和使用不可降解的一次性塑料制品。该措施能缓解的环境问题是____,酸雨,温室效应,白色污染,雾霾,C,
151,科学探究，其乐无穷！向静置的$\text{Ba}\left(\text{OH}\right)_2$溶液中滴加酚酞试液观察到美丽的颜色，振荡后逐渐滴加稀硫酸，并静静观察，会看到神奇的变化。下列有关说法错误的是____,滴加酚酞试液后液滴周围变红，并逐渐扩散开来,开始滴加稀硫酸，液滴处红色瞬间消失复又变红,继续滴加稀硫酸，溶液中沉淀保持不变但pH增大,发生了中和反应：$\text{Ba}\left(\text{OH}\right)_2+\text{H}_2\text{SO}_4=\text{BaSO}_4\downarrow+2\text{H}_2\text{O}$,C,
152,下列物质中，属于纯净物的是____,石油,液态氧,食醋,水泥砂浆,B,
153,分类是学习化学的常用方法。下列分类中正确的是____,有机物：乙醇、乙酸、碳酸钙,人体必需的微量元素：铁、锌、钙,混合物：空气、碘酒、合金,合成材料：塑料、橡胶、合成纤维,C,
154,从人类生活的环境考虑，最理想的能源是____,煤,石油,天然气,太阳能,D,
155,下列为一些常见食物的近似pH，胃酸过多的人空腹时最适宜吃的食物是____,苹果：2.9~3.3,橘子：3.0~4.0,葡萄：3.5-4.5,玉米粥：6.8~8.0,D,
156,下列说法中正确的是____,木炭燃烧后生成黑色固体,硫燃烧后生成有刺激性气味的气体,红磷在空气中燃烧产生白雾,铁丝伸入盛有氧气的集气瓶中剧烈燃烧S,B,
157,钛和钛合金被认为是21世纪的重要金属材料，它们具有熔点高、密度小、抗腐蚀性能好等优良性能，因此被广泛用于火箭、航天飞机、船舶和化工等。已知钛原子的质子数为22，中子数为26，则钛原子的核外电子数为____,48,26,22,4,C,
158,通过对宏观现象的观察推理，可以建立起对微观粒子的认识。下列对于宏观事实的微观解释错误的是____,金刚石和石墨物理性质不同——碳原子排列方式不同,水银温度计的汞柱升高或降低——汞原子大小发生变化,品红在热水中比在冷水中扩散得快——温度越高，分子运动速率越快,氢气在氯气中燃烧生成氯化氢——化学变化中分子分为原子，原子又结合成新的分子,B,
159,下列有关空气的说法中正确的是____,空气中的氧气具有可燃性，可用作火箭燃料,汽车尾气不会造成空气污染,稀有气体可用于制作多种用途的电光源,空气中氮气与氧气体积比约为5：1,C,
160,下列关于碳和碳的氧化物的说法不正确的是____,C可以将CuO中的Cu还原出来,在一定条件下$\text{CO}_{2}$能够转变成CO,$CO_2$能使被石蕊染成紫色的干花变红,金刚石，石墨和$\text{C}_{60}$都是碳元素的单质,C,
161,溶液对自然界中的生命活动和人类的生产活动具有重要意义。下列说法正确的是____,只有固体和液体物质可以作为溶质,长期放置不分层的液体就是溶液,饱和溶液升温一定变为不饱和溶液,溶液中溶质可以是一种或者多种,D,
162,下列做法正确的是____,服用适量的氢氧化钙治疗胃酸过多,天然气报警器安装在灶台的上方,生活中常采用蒸馏的方法软化硬水,装食品用聚氯乙烯塑料袋，用加热的方法封口,B,
163,下列变化属于化学变化的是____,粮食酿酒,石蜡熔化,酒精挥发,湿衣晾干,A,
164,下列说法中正确的是____,空气中含量最多的气体是氧气,煤炉上放一盆水可防止一氧化碳中毒,氮气可用于食品包装防腐,空气中二氧化碳含量过高可形成酸雨,C,
165,下列事实能够说明“分子在不停地运动”的是____,公园里花香四溢,春天里柳絮飞扬,海面上浪花飞溅,天空中乌云翻滚,A,
166,压缩气体可使气体液化，气体液化后____,分子的质量变大,分子的体积变小,分子的数目减少,分子的间隙变小,D,
167,石家庄入选冬奥会菜单的“锦鲫戏明珠”，其主要食材豆腐、鲫鱼中富含的营养素为____,糖类,油脂,无机盐,蛋白质,D,
168,坚持低碳生活、绿色发展，促进人与自然和谐共生，下列做法与这一理念不相符的是____,限制燃放烟花,发展燃煤发电,分类处理垃圾,倡导公交出行,B,
169,将98%的浓硫酸用水稀释为20%的稀硫酸，下列说法不正确的是____,量取浓硫酸的量筒必须干燥,将浓硫酸缓慢地注入水中,用玻璃棒不断搅拌散热,浓硫酸和稀硫酸化学性质完全相同,D,
170,下列富含蛋白质的食物是____,菠菜,米饭,鲤鱼,豆油,C,
171,20世纪20年代，改进了西方的制碱方法，发明了联合制碱法的科学家是____,张青莲,屠呦呦,侯德榜,拉瓦锡,C,
172,2011年是联合国确定的“国际化学年”。我国举行了以“化学———我们的生活，我们的未来”为主题的“国际化学年在中国”系列活动，其中一项活动的主题是“环境化学与城市可持续发展”。下列不属于此主题研究内容的是____,土壤污染与修复、固体废物处理,涉及生命分析技术的仪器开发,资源转化中的环境化学,环境分析方法与标准,B,
173,比较归纳是化学学习中常用的一种方法.以下是C、$CH_4$、CO三种物质转化为$CO_2$的转化关系，即：①C→$CO_2$②$CH_4$→$CO_2$③CO→$CO_2$，对它们的比较归纳正确的是____,三种转化发生的都是化合反应,三种物质都只能跟氧气反应转化为二氧化碳,三种物质都可以在点燃条件下转化为二氧化碳,三种转化所有的生成物在常温下都是气体,C,
174,下列关于空气中各种气体的性质或用途说法不正确的是____,氧气可用于医疗急救和炼钢,氮气能直接作为氮肥,二氧化碳可用作气体肥料,稀有气体能应用于激光灯等电光源,B,
175,下列过程中发生的变化时化学变化的是____,食物腐败变质,分离液体空气制氧气,水结冰,海水晒盐,A,
176,过氧乙酸是常用的一种消毒剂，其化学式为$C_2H_4O_3$，下列叙述正确的是____,过氧乙酸属于氧化物,过氧乙酸中碳元素的质量分数最高,过氧乙酸中碳、氢、氧三种元素的质量比为6：1：12,过氧乙酸由2个碳原子、4个氢原子和3个氧原子构成,C,
177,5月20日为“中国学生营养日”，青少年应关注营养与健康。下列有关说法正确的是____,微量元素氟能防治龋齿，补充越多越好,奶茶具有良好的口感，可取代水长期饮用,油脂是提供能量的重要物质，可大量食用,糖类是人体所需营养成分之一，每天应适量摄入,D,
178,下列有关空气成分的说法错误的是____,利用氦气可制作霓虹灯,食品包装中充入氮气用来防腐,铁在氧气中燃烧生成氧化铁,敞口放置在空气中的饼干变软是因为吸收了空气中的水蒸气,C,
179,分类是学习化学的方法之一，下列物质是按单质、盐、混合物的顺序排列的是____,氧气、碳酸钙、空气,氢气、硫酸钠、水,甲烷、食盐、冰水,金刚石、熟石灰、石油,A,
180,推理是学习化学的重要方法，但盲目类推又可能得出错误结论。以下类推正确的是____,元素的种类是由质子数决定的，所以质子数相同的粒子一定属于同种元素,单质是由同种元素组成的，则由同种元素组成的物质一定是单质,含碳元素的物质燃烧会生成$CO_2$，所以燃烧能生成$CO_2$的物质一定含有碳元素,在同一化合物中，金属元素显正价，则非金属元素一定显负价,C,
181,袁隆平院士为我国杂交水稻高产稳产做出了突出贡献。大米为我们提供的营养素主要是____,油脂,维生素,蛋白质,糖类,D,
182,化学就在我们身边，下列说法或做法不正确的是____,熟石灰可用来改良酸性土壤,发生森林火灾时，开辟防火隔离带的目的是隔离可燃物,夜晚天然气泄漏，应立即开灯查找原因,用炭黑墨汁书写的字经久不褪色，是因为常温下碳的化学性质稳定,C,
183,下列有关空气成分的说法不正确的是____,$O_2$的化学性质比较活泼,空气中$N_2$的体积分数最大,$CO_2$是一种空气污染物,稀有气体可用于制作电光源,C,
184,有关人体的组成元素的说法中错误的是____,组成人体自身的元素约有50多种,人体内的碳、氢、氧、氮四种元素主要以糖类、油脂、蛋白质和维生素形式存在,人体内含量较多的元素有11种,由于微量元素的含量非常少，因此，对人体健康的影响也很小,D,
