id,question,A,B,C,D,answer,explanation
108,二次函数$y=(x-1)^{2}-3$ 的顶点坐标是____,"(1,-3)","(-1,-3)","(1,3)","(-1,3)",A,
109,分式方程$\frac{x+1}{x-1}-1=\frac{4}{x^{2}-1}$若有增根，则增根可能是____,1,-1,1或-1,0,A,
110,﹣（﹣2019）的相反数是____,$-2019$,$2019$,$\frac{1}{2019}$,$-\frac{1}{2019}$,A,
111,方程$x^2+4x+1=0$的解是____,"$x_1=2+\sqrt 3 ,x_2=2-\sqrt 3$","$x_1=2+\sqrt 3 ,x_2=-2+\sqrt 3$","$x_1=-2+\sqrt 3 ,x_2=-2-\sqrt 3$","$x_1=-2-\sqrt 3 ,x_2=2+\sqrt 3$",C,
112,"下列命题中，真命题有____。
（1）有且只有一条直线与已知直线平行 
（2）垂直于同一条直线的两条直线互相垂直
（3）两条直线被第三条直线所截，内错角相等
（4）在平面内过一点有且只有一条直线与已知直线垂直。",一个,2个,3个,4个,A,
113,已知二次函数$y=-(x+k)^2+h$，当x>-2时，y随x的增大而减小，则函数中k的取值范围是____,$k \geq -2$,$k \leq -2$,$k \geq 2$,$k \leq 2$,B,
114,$-2$的绝对值是____,$-2$,$2$,$\frac{1}{2}$,$-\frac{1}{2}$,B,
115,下列各式中能用完全平方公式分解因式的是____,$x^2+x+1$,$x^2+2x+1$,$x^2+2x-1$,$x^2-2x-1$,B,
116,若 $\sqrt {x-1}$在实数范围内有意义，则x的取值范围是____,x≥1,x>1,x≤1,x≠1,A,
117,一个等腰三角形两边的长分别为 3和 7，那么这个三角形的周长是____,10,13,17,13或17,C,
118,下列运算中，正确的是____,$2x+2y=2x y$,$\left(x y\right)^{2}\div\frac{1}{x y}=(x y)^{3}$,$\left(x^2y^3\right)^2=x^4y^5$,$2x y-3y x=x y$,B,
119,下列函数中，一定是二次函数是____,$y=ax^2 +bx+c$,$y=x(-x+1)$,$y=(x-1^)2-x^2$,$y=\frac{1}{x^2}$,B,
120,因式分解$x^{2}+m x-12=\left(x+p\right)\left(x+q\right)$，其中 m，p ，q 都为整数，则这样的m的最大值是____,1,4,11,12,C,
121,若 $a>b$，则下列不等式变形正确的是____,$a+5<b+5$,$\frac{a}{3}<\frac{b}{3}$,$-4a>-4b$,$3a-2>3b-2$,D,
122,已知方程组 $\left\{\begin{matrix}2x+2y=k\\ 2x+y=1\end{matrix}\right.$的解满足$x-y=3$ ，则$k$ 的值为____,2,-2,1,-1,B,
123,要调查某城区七年级8000名学生对禁毒知识的了解情况，下列调查方式最合适的是____,在某校七年级学生中随机选取180名学生,在城区七年级学生中随机选取180名女生,在城区七年级学生中随机选取180名学生,在某校七年级学生中随机选取180名男生,C,
124,分式$\frac{xy}{x+y}$中 x，y 的值都扩大到原来的 倍，则分式的值____,扩大到原来的9倍,不变,缩小到原来的$\frac{1}{3}$,扩大到原来的3倍,D,
125,"关于抛物线$y=x^2-4x+4$,下列说法错误的是____",开口向上,与x轴只有一个交点,对称轴是直线x=2,当x>0时，y随x的增大而增大,D,
126,已知∠A为锐角，且sinA=$\frac{\sqrt{3}}{2}$ ，那么∠A等于____,15°,30°,45°,60°,D,
127,下列说法正确的有____个 ①同位角相等；②一条直线有无数条平行线；③在同一平面内，两条不相交的线段是平行线；④如果 a//b，b//c ，则 a//c；⑤过一点有且只有一条直线与已知直线平行,2个,3个,4个,5个,A,
128,已知单项式 $2x^{3}y^{1+2m}$与 $3x^{n+1}y^{3}$的和是单项式，则 $m+n$的值是____,-3,3,6,-6,B,
129,下列语句中是命题的有____①如果两个角都等于70°，那么这两个角是对顶角;    ②三角形内角和等于180°；  ③画线段AB=3 cm．,0个,1个,2个,3个,C,
130,如果收入3万元，记作+3万元，那么-2 万元表示____,收入2万元,支出5万元,支出2万元,利润是2万元,C,
131,$2020$的相反数是____,$-\frac{1}{2000}$,$\frac{1}{2000}$,$2020$,$-2020$,D,
132,已知代数式 $3x^{2}-2y+6=8$，则代数式 $\frac{3}{2}x^{2}-y+1$的值是____,1,2,3,4,B,
133,下面是某同学在一次测验中的计算摘录：①$3a+2b=5ab$ ；②$4m^3n-5mn^3=-m^3n$ ；③ $3x^{3}\cdot\left(-2x^{2}\right)=-6x^{5}$；④ $4a^{3}b\div\left(-2a^{2}b\right)=-2a$；⑤$(a^3)^2=a^5$ ；⑥$\left(-a\right)^{2}\div \left(-a\right)=-a^{2}$ ．其中正确的个数有____,1个,2个,3个,4个,B,
134,"下列说法，其中正确的结论有____①最大的负整数是-1 ；② $a$的倒数是 $\frac{1}{a}$；③若$a$ ，$b$ 互为相反数，则$\frac{a}{b}=-1$ ；
④ $(-2)^3=-2^3$；  ⑤单项式 $-frac{2x^2y}{3}$的系数是-2 ；⑥多项式$xy^2-xy+2^4$ 是关于x y 的三次多项式.",1个,2个,3个,4个,C,
135,下列计算结果正确的是____,$\sqrt{2}+\sqrt{5}=\sqrt{7}$,$2\sqrt{2}\times2\sqrt{3}=2\sqrt{6}$,$3\sqrt{2}-\sqrt{2}=3$,$\sqrt{27}\div\sqrt{3}=3$,D,
136,若⊙P的半径为5，圆心P的坐标为（-3，4），则平面直角坐标系的原点O与⊙P的位置关系是____,在⊙P内,在⊙P上,在⊙P外,无法确定,B,
137,"点P(5,-4)关于 轴对称点是____","(5,4)","(5,-4)","(4,-5)","(-5,-4)",A,
138,下列运算正确的是____,$4a-a=3$,$a^{3}-a^{2}=a$,$2a b-b a=a b$,$a^{2}b-a b^{2}=0$,C,
139,某市2004年底已有绿化面积300公顷，经过两年绿化，绿化面积逐年增加，到2006年底增加到363公顷．设绿化面积平均每年的增长率为x，由题意，所列方程正确的是____,$300(1+x)=363$,$300(1+x)^2=363$,$300(1+2x)=363$,$363(1-x)^2=300$,B,
140,"某工厂一月份生产机器100台，计划二、三月份共生产机器240台，设二、三月份的平均增长率为x,则根据题意列出方程是____",$100(1+x)^2=240$,$100(1+x)+100(1+x)^2=240$,$100+100(1+x)+100(1+x)^2=240$,$100(1-x)^2=240$,B,
141,下列各式$\frac{a-b}{2}$ ，$\frac{x+3}{x}$ ，$\frac{5+y}{\pi}$ ，$\frac{\sqrt 3}{4}(x^2+1)$ ，$\frac{a+b}{a-b}$ ，$\frac{1}{m}(x-y)$ 中，是分式的共有____,1个,2个,3个,4个,C,
142,把一些图书分给某班的学习小组，如果每组分11本，则剩余1本；如果每组分12 本，则有一组少7本，设该班共有 x个学习小组，则 满足的方程是____,$11x-1=12x-7$,$11x+1=12x-7$,$11x+1=12(x-1)-5$,$11x-1=12(x-1)-5$,B,
143,根据等式的性质，下列变形正确的是____,如果 $2x=3$，那么 $\frac{2x}{a}=\frac{3}{a}$,"如果$x=y$ ,那么$x-5=5-y$",如果 $x=y$，那么$-2x=-2y$,如果 $\frac{1}{2}x=6$，那么$x=3$,C,
144,抛物线的顶点坐标为(-2，3)，开口方向和大小与抛物线$y=x^2$相同，则其解析式为____,$y=(x-2)^2+3$,$y=(x-2)^2-3$,$y=(x+2)^2+3$,$y=-(x+2)^2+3$,C,
145,据统计， 2019年安徽省常住人口数为6323.6万人.请将6323.6万用科学记数法表示为____,$6.3036\times10^3$,$6.3036\times10^4$,$6.3036\times10^7$,$6.3036\times10^8$,C,
146,为调查某校九年级学生体育锻炼情况，下列调查对象最合适的____,选50名男生,.选一个班级的学生,选50名女生,随机选取九年级50名学生,D,
147,"下列现象属于平移的是____
① 打气筒活塞的轮复运动，② 电梯的上下运动，③ 钟摆的摆动，④ 转动的门，
⑤ 汽车在一条笔直的马路上行走",③,②③,①②④,①②⑤,D,
148,A，B，C 三点在同一直线上，线段$AB=5cm$ ，$BC=4cm$ ，那么A ，C 两点的距离是____,1cm,9cm,1cm或9cm,以上答案都不对,C,
149,小马虎在做作业，不小心将方程中的一个常数污染了，被污染的方程是 $2(x-3)-.=x+1$ ，怎么办呢？他想了想便翻看书后的答案，方程的解是$x=9$ ，请问这个被污染的常数是____,1,2,3,4,B,
150,下列解方程的步骤正确的是____,由$2x+4=3x+1$，得$2x+3x=1+4$,"由$0.5x-0.7x=5-1.3x$,得 $5x-7=5-13x$","由$\left(x-2\right)=2\left(x+3\right)$,得 $3x-6=2x+6$","由$\frac{x-1}{2}-\frac{x+2}{6}=2$,得 $2x-2-x+2=12$",C,
151,如果$\sqrt {(2a-1)^2}=1-2a$，则____,$a< \frac{1}{2}$,$a \leq\frac{1}{2}$,$a> \frac{1}{2}$,$a \geq \frac{1}{2}$,B,
152,下列二次根式中，是最简二次根式的是____,$\sqrt {17}$,$\sqrt {27}$,$\sqrt {\frac{1}{2}}$,$\sqrt {a^2}$,A,
153,将二次函数$y=x^2-4x+1$ 化成 $y=a(x-h)^2+k$的形式为____,$y=\left(x-4\right)^2+1$,$y=(x-4)^2-3$,$y=(x-2)^2-3$,$y=(x+2)^2-3$,C,
154,某超市为了吸引顾客，设计了一种返现促销活动：在一个不透明的箱子里放有4个相同的小球，球上分别标有“0元”、“10元”、“20元”、“30元”的字样。规定：顾客在本超市一次性消费满200元，就可以在箱子里一次性摸出两个小球，两球数字之和即为返现金额。某顾客刚好消费200元，则该顾客所获得返现金额不低于30元的概率是____,$\frac{3}{4}$,$\frac{2}{3}$,$\frac{1}{2}$,$\frac{1}{3}$,B,
155,计算$0.25^{2013}\times4^{2015}$____,1,8,16,2,C,
156,若单项式$x^my^2$ 与$-2x^3y^n$ 的和仍是单项式，则$n^m$的值为____,-8,-9,9,8,D,
157,下列各式中正确的是____,$\sqrt{(-7)^{2}}=-7$,$\sqrt{9}=\pm3$,$(-\sqrt{2})^{2}=4$,$\sqrt{48}-\sqrt{3}=3\sqrt{3}$,D,
158,有下面的说法：①全等三角形的形状相同；②全等三角形的对应边相等；③全等三角形的对应角相等；④全等三角形的周长、面积分别相等．其中正确的说法有____,1个,2个,3个,4个,D,
159,"点A(a,4) 、点B(3,b) 关于 轴对称，则$(a+b)^{2010}$ 的值为____",0,-1,1,$7^{2010}$,C,
160,"在平面直角坐标系中，点A(-4,-2)关于轴对称的点的坐标是____","(-4,2)","(4,-2)","(4,2)","(-2,4)",B,
161,4的平方根是____,$2$,$-2$,$\pm 2$,$16$,C,
162,在下列运算中，正确的是____,$(x-y)^2=x^2-y^2$,$(a+2)(a-3)=a^2-6$,$(a+2b)^2=a^2+4ab+4b^2$,$(2x-y)(2x+y)=2x^2-y^2$,D,
163,新型冠状肺炎疫情正在全球蔓延肆虐，口罩成了人们生活中必不可少的物品，某口罩厂有26 名工人，每人每天可以生产800 个口罩面或 1000个口罩耳绳．一个口罩面需要配两个耳绳，为使每天生产的口罩面和口罩耳绳刚好配套，设安排 $x$名工人生产口罩面，则下面所列方程正确的是____,$2\times1000\left(26-x\right)=800x$,$1000\left(13-x\right)=2\times800x$,$1000\left(26-x\right)=2\times800x$,$1000\left(26-x\right)=800x$,C,
164,化简$\frac{m^2-3m}{9-m^2}$的结果是____,$\frac{m}{m+3}$,$-\frac{m}{m+3}$,$\frac{m}{m-3}$,$\frac{m}{3-m}$,B,
165,若 a，b 互为倒数，则 -4ab的值为____,-4,-1,1,0,A,
166,平面直角坐标系中，直线 $y=-\frac{1}{2}x+2$和x、y轴交于A、B两点，在第二象限内找一	点P，使△PAO和△AOB相似的三角形个数为____,2,3,4,5,C,
167,$\sqrt4$的平方根是____,$2$,$\pm2$,$\sqrt 2$,$\pm \sqrt 2$,D,
168,一元二次方程$x^2+px-2=0$的一个根为-1，则p的值为____,1,2,-1,-2,C,
169,下列正比例函数中， y的值随着x值的增大而减小的是____,$y=0.2x$,$y=\left(\sqrt{2}-\sqrt{3}\right)x$,$y=\frac{1}{5}x$,$y=2x$,B,
170,已知 $\frac{1}{a}-\frac{1}{b}=\frac{1}{2}$，则$\frac{a b}{a-b}$的值是____,$\frac{1}{2}$,$-\frac{1}{2}$,$2$,$-2$,D,
171,已知 $a^{2}-5=2a$，代数式$\left(a-2\right)^{2}+2\left(a+1\right)$ 的值为____,-11,-1,1,11,D,
172,以下命题：①直径相等的圆是等圆；②长度相等弧是等弧；③相等的弦所对的弧也相等；④圆的对称轴是直径；其中正确的个数是____,4,3,2,1,D,
173,一元二次方程$2x^2+3x+1=0$的根的情况是____,有两个相等的实数根,有两个不相等的实数根,没有实数根,无法确定,B,
174,在下列所给出坐标的点中，在第二象限的是____,"(2,3)","(-2,3)","(-2,-3)","(2,3)",B,
175,下列各组数据中不能构成直角三角形三边长的是____,"0.7,2.4,2.5","3,4,5","2,3,4","1,$\sqrt 2$, $\sqrt 3$",C,
176,$|-2020|$的倒数是____,$2020$,$\frac{1}{2020}$,$-\frac{1}{2020}$,$-2020$,B,
